frame,time_sec,r_elbow_angle,l_elbow_angle,r_shoulder_angle,l_shoulder_angle,shoulder_tilt,r_wrist_height,l_wrist_height,r_wrist_vis,r_elbow_vis
245,8.167,156.45,173.69,52.3,172.87,-13.71,0.8295,0.5131,0.96,0.81
246,8.2,151.72,174.45,49.49,172.98,-13.62,0.8272,0.5151,0.96,0.81
247,8.233,147.9,174.86,46.74,173.06,-13.44,0.8253,0.5161,0.95,0.8
248,8.267,147.33,175.38,46.85,173.26,-13.25,0.8246,0.5168,0.95,0.8
249,8.3,141.84,175.6,42.39,173.24,-12.77,0.8226,0.5172,0.95,0.79
250,8.333,137.56,175.79,38.91,173.08,-12.43,0.821,0.5176,0.96,0.79
251,8.367,134.38,176.18,36.59,172.83,-12.03,0.8208,0.5184,0.96,0.79
252,8.4,128.87,175.94,32.35,173.13,-11.63,0.8202,0.5193,0.96,0.78
253,8.433,125.68,175.86,30.36,173.17,-11.2,0.8202,0.5196,0.96,0.78
254,8.467,121.51,176.27,27.9,173.05,-10.92,0.8202,0.521,0.96,0.77
255,8.5,122.31,176.62,28.01,172.75,-10.43,0.82,0.5217,0.96,0.77
256,8.533,121.66,177.64,27.19,171.64,-9.94,0.8196,0.5225,0.96,0.77
257,8.567,118.91,177.99,25.49,171.11,-9.63,0.8187,0.5228,0.97,0.76
258,8.6,117.11,177.93,24.59,170.99,-9.46,0.8169,0.5228,0.97,0.76
259,8.633,114.24,178.73,22.21,170.34,-9.22,0.8151,0.5227,0.97,0.75
260,8.667,110.9,178.83,19.92,169.37,-9.0,0.8123,0.5226,0.97,0.74
261,8.7,110.81,178.07,20.39,168.36,-8.74,0.8107,0.5217,0.97,0.72
262,8.733,108.55,176.64,19.88,167.02,-8.65,0.8073,0.5205,0.97,0.71
263,8.767,107.16,176.0,19.74,165.81,-8.48,0.8053,0.5186,0.97,0.7
264,8.8,105.67,174.81,19.91,164.63,-8.43,0.8047,0.5168,0.97,0.69
265,8.833,103.68,174.51,20.39,163.82,-8.45,0.8021,0.5148,0.97,0.68
266,8.867,101.64,174.56,20.05,162.87,-8.5,0.7971,0.5109,0.97,0.67
267,8.9,99.19,175.63,19.96,163.18,-8.63,0.7916,0.5069,0.97,0.66
268,8.933,97.24,175.16,21.12,162.47,-8.89,0.7888,0.5014,0.98,0.67
269,8.967,94.19,172.87,21.36,159.78,-9.05,0.784,0.496,0.98,0.67
270,9.0,91.16,170.96,21.69,157.09,-9.17,0.7779,0.4894,0.98,0.67
271,9.033,87.72,168.77,22.12,153.91,-9.38,0.7703,0.4811,0.98,0.66
272,9.067,82.76,161.67,21.67,149.48,-9.69,0.763,0.4743,0.97,0.65
273,9.1,77.4,157.98,21.41,146.03,-10.09,0.7579,0.4669,0.97,0.65
274,9.133,72.0,152.4,21.49,141.42,-10.49,0.7538,0.4597,0.97,0.64
275,9.167,67.01,150.45,22.85,138.19,-10.89,0.7452,0.45,0.97,0.64
276,9.2,60.94,149.52,24.71,135.27,-11.32,0.7351,0.4384,0.97,0.64
277,9.233,53.65,149.02,26.76,132.64,-11.85,0.7229,0.429,0.97,0.65
278,9.267,44.08,147.84,31.14,130.25,-12.48,0.7108,0.4185,0.98,0.67
279,9.3,34.67,146.29,38.44,128.87,-13.03,0.6993,0.4097,0.98,0.68
280,9.333,23.83,141.84,47.74,126.8,-13.56,0.6843,0.4002,0.98,0.7
281,9.367,13.94,141.61,58.98,124.85,-13.96,0.6711,0.3869,0.97,0.7
282,9.4,7.79,143.01,68.49,125.16,-14.69,0.6631,0.373,0.95,0.7
283,9.433,5.55,141.55,75.04,123.19,-15.11,0.6608,0.3589,0.93,0.69
284,9.467,4.72,138.86,80.32,121.43,-15.45,0.6606,0.3476,0.89,0.67
285,9.5,3.24,135.22,88.11,119.3,-15.76,0.6512,0.3375,0.83,0.64
286,9.533,5.64,134.61,93.19,119.03,-16.16,0.6526,0.3279,0.79,0.63
287,9.567,5.97,133.24,98.05,117.32,-16.29,0.663,0.322,0.74,0.6
288,9.6,5.44,129.58,99.14,116.01,-16.57,0.664,0.3162,0.7,0.59
289,9.633,5.51,125.08,101.73,115.28,-17.05,0.6499,0.3111,0.66,0.58
290,9.667,6.93,119.26,104.61,114.18,-17.56,0.6504,0.3055,0.63,0.58
291,9.7,6.0,114.7,105.39,114.71,-17.78,0.6461,0.301,0.61,0.58
292,9.733,8.15,107.25,105.63,114.75,-17.95,0.6448,0.2986,0.59,0.58
293,9.767,10.88,96.74,108.72,114.29,-18.08,0.6425,0.2973,0.57,0.58
294,9.8,10.72,88.96,109.95,113.37,-18.29,0.6384,0.2952,0.54,0.57
295,9.833,14.32,80.54,113.58,110.57,-18.19,0.6369,0.2966,0.51,0.57
296,9.867,29.12,73.88,115.95,108.2,-17.83,0.6632,0.2966,0.51,0.55
297,9.9,60.49,70.26,118.38,106.91,-17.48,0.6693,0.2975,0.51,0.54
298,9.933,28.84,68.88,123.02,105.16,-17.22,0.6609,0.2988,0.5,0.54
